Epoch: 134, LR: 0.000058, Loss: 0.3196176, Validation MAE: 0.5178885, 
Epoch: 135, LR: 0.000040, Loss: 0.3179383, Validation MAE: 0.5172758, 
Epoch: 136, LR: 0.000040, Loss: 0.3170638, Validation MAE: 0.5180434, 
Epoch: 137, LR: 0.000040, Loss: 0.3171740, Validation MAE: 0.5203593, 
Epoch: 138, LR: 0.000040, Loss: 0.3163791, Validation MAE: 0.5168942, 
Epoch: 139, LR: 0.000040, Loss: 0.3166280, Validation MAE: 0.5172194, 
Epoch: 140, LR: 0.000040, Loss: 0.3169045, Validation MAE: 0.5171668, 
Epoch: 141, LR: 0.000028, Loss: 0.3150898, Validation MAE: 0.5173431, 
Epoch: 142, LR: 0.000028, Loss: 0.3146377, Validation MAE: 0.5198689, 
Epoch: 143, LR: 0.000028, Loss: 0.3145175, Validation MAE: 0.5180305, 
Epoch: 144, LR: 0.000028, Loss: 0.3145743, Validation MAE: 0.5157602, 
Epoch: 145, LR: 0.000028, Loss: 0.3138605, Validation MAE: 0.5181488, 
Epoch: 146, LR: 0.000028, Loss: 0.3142239, Validation MAE: 0.5175567, 
Epoch: 147, LR: 0.000020, Loss: 0.3127854, Validation MAE: 0.5194308, 
Epoch: 148, LR: 0.000020, Loss: 0.3126653, Validation MAE: 0.5167845, 
Epoch: 149, LR: 0.000020, Loss: 0.3125669, Validation MAE: 0.5181294, 
Epoch: 150, LR: 0.000020, Loss: 0.3123156, Validation MAE: 0.5183170, 
Epoch: 151, LR: 0.000020, Loss: 0.3118467, Validation MAE: 0.5184959, 
Epoch: 152, LR: 0.000020, Loss: 0.3120530, Validation MAE: 0.5191236, 
Epoch: 153, LR: 0.000014, Loss: 0.3112546, Validation MAE: 0.5185164, 
Epoch: 154, LR: 0.000014, Loss: 0.3110688, Validation MAE: 0.5199642, 
Epoch: 155, LR: 0.000014, Loss: 0.3111523, Validation MAE: 0.5178471, 
Epoch: 156, LR: 0.000014, Loss: 0.3108040, Validation MAE: 0.5181491, 
Epoch: 157, LR: 0.000014, Loss: 0.3106781, Validation MAE: 0.5192785, 
Epoch: 158, LR: 0.000014, Loss: 0.3108005, Validation MAE: 0.5183122, 
Epoch: 159, LR: 0.000010, Loss: 0.3101490, Validation MAE: 0.5181455, 
Epoch: 160, LR: 0.000010, Loss: 0.3101314, Validation MAE: 0.5178110, 
Epoch: 161, LR: 0.000010, Loss: 0.3100595, Validation MAE: 0.5187906, 
Epoch: 162, LR: 0.000010, Loss: 0.3102168, Validation MAE: 0.5195317, 
Epoch: 163, LR: 0.000010, Loss: 0.3099748, Validation MAE: 0.5182138, 
Epoch: 164, LR: 0.000010, Loss: 0.3098528, Validation MAE: 0.5190196, 
Epoch: 165, LR: 0.000010, Loss: 0.3098462, Validation MAE: 0.5190217, 
Epoch: 166, LR: 0.000010, Loss: 0.3097527, Validation MAE: 0.5187855, 
Epoch: 167, LR: 0.000010, Loss: 0.3094164, Validation MAE: 0.5184709, 
Epoch: 168, LR: 0.000010, Loss: 0.3096250, Validation MAE: 0.5176871, 
Epoch: 169, LR: 0.000010, Loss: 0.3094780, Validation MAE: 0.5173996, 
Epoch: 170, LR: 0.000010, Loss: 0.3094467, Validation MAE: 0.5181800, 
Epoch: 171, LR: 0.000010, Loss: 0.3093087, Validation MAE: 0.5176669, 
Epoch: 172, LR: 0.000010, Loss: 0.3093359, Validation MAE: 0.5188487, 
Epoch: 173, LR: 0.000010, Loss: 0.3091486, Validation MAE: 0.5188247, 
